iter	Passed	Remaining
0	195	19350
1	208	10205
2	219	7089
3	228	5485
4	236	4495
5	243	3814
6	250	3323
7	258	2967
8	265	2683
9	272	2451
10	278	2254
11	286	2102
12	293	1962
13	301	1849
14	308	1748
15	317	1664
16	324	1586
17	332	1514
18	340	1450
19	347	1388
20	354	1335
21	362	1285
22	371	1242
23	378	1198
24	386	1158
25	396	1128
26	409	1106
27	418	1076
28	427	1046
29	436	1019
30	446	994
31	456	969
32	464	943
33	471	914
34	477	887
35	484	862
36	490	835
37	497	812
38	503	788
39	511	767
40	518	745
41	526	727
42	535	710
43	542	691
44	549	671
45	564	662
46	582	656
47	598	648
48	606	631
49	620	620
50	629	604
51	635	586
52	642	569
53	649	553
54	656	536
55	663	521
56	670	506
57	678	491
58	684	475
59	691	461
60	699	447
61	706	432
62	713	418
63	719	404
64	726	391
65	733	377
66	739	364
67	745	350
68	752	338
69	759	325
70	765	312
71	773	300
72	780	288
73	786	276
74	793	264
75	800	252
76	807	241
77	814	229
78	821	218
79	828	207
80	835	195
81	842	184
82	849	173
83	856	163
84	862	152
85	870	141
86	876	131
87	882	120
88	890	110
89	896	99
90	903	89
91	910	79
92	917	69
93	925	59
94	931	49
95	940	39
96	947	29
97	954	19
98	960	9
99	967	0
