iter	MultiClass
0	1.070344459
1	1.048456055
2	1.02924492
3	1.013879861
4	1.001080063
5	0.9900812059
6	0.9802461467
7	0.971491215
8	0.9651134555
9	0.9586763984
10	0.9535830463
11	0.9489450298
12	0.945020806
13	0.9414458232
14	0.9387012869
15	0.9356446567
16	0.9329524994
17	0.9305057536
18	0.9281824538
19	0.9260098124
20	0.924310266
21	0.9226303868
22	0.9212556855
23	0.9202851685
24	0.919219079
25	0.9181092499
26	0.9171399263
27	0.9162157159
28	0.9153254928
29	0.9145845321
30	0.9136474087
31	0.9130097906
32	0.9123987838
33	0.9117802498
34	0.9111648098
35	0.9105688937
36	0.9100767578
37	0.9096023475
38	0.9092362131
39	0.9088030845
40	0.9084857652
41	0.908103477
42	0.9076361081
43	0.9072776098
44	0.9068043838
45	0.9063356067
46	0.9059528901
47	0.9055749437
48	0.9052931031
49	0.9049533922
50	0.9046361914
51	0.9044076528
52	0.9040931646
53	0.9037170275
54	0.9034329913
55	0.9032692782
56	0.9030110269
57	0.902767125
58	0.9024850382
59	0.9021918386
60	0.9019036879
61	0.9016598872
62	0.9014513048
63	0.9011233904
64	0.9008250279
65	0.900649747
66	0.9004584917
67	0.9003051924
68	0.9001013509
69	0.8998795819
70	0.8996317071
71	0.8994331491
72	0.8992370675
73	0.8991574133
74	0.8989317608
75	0.8986700966
76	0.8984713876
77	0.8981495096
78	0.8979869219
79	0.8977608472
80	0.8974961853
81	0.8973842486
82	0.897130528
83	0.8969259531
84	0.8966593145
85	0.8964050249
86	0.8961668881
87	0.8959847871
88	0.8957623391
89	0.8955824064
90	0.8953714284
91	0.8950439355
92	0.894909549
93	0.8946679427
94	0.8945203669
95	0.8943133695
96	0.89406271
97	0.8938755456
98	0.8937065878
99	0.8934890134
