iter	Passed	Remaining
0	191	18962
1	205	10065
2	218	7049
3	227	5448
4	235	4475
5	243	3819
6	252	3349
7	259	2988
8	267	2708
9	274	2474
10	284	2305
11	293	2149
12	301	2014
13	308	1895
14	316	1791
15	323	1700
16	332	1622
17	339	1548
18	348	1485
19	356	1426
20	366	1379
21	375	1330
22	384	1286
23	393	1246
24	401	1205
25	409	1166
26	416	1126
27	424	1091
28	431	1055
29	437	1021
30	445	991
31	453	964
32	462	939
33	469	912
34	478	889
35	485	863
36	492	839
37	499	815
38	507	793
39	513	770
40	522	751
41	530	733
42	539	715
43	547	697
44	558	682
45	568	666
46	576	650
47	586	635
48	593	617
49	601	601
50	608	584
51	616	569
52	623	553
53	630	537
54	638	522
55	645	506
56	653	493
57	660	477
58	667	463
59	675	450
60	683	436
61	693	424
62	701	411
63	708	398
64	716	385
65	723	372
66	730	359
67	737	347
68	745	334
69	753	322
70	760	310
71	768	298
72	774	286
73	782	274
74	789	263
75	797	251
76	804	240
77	811	228
78	818	217
79	827	206
80	835	195
81	841	184
82	849	174
83	856	163
84	864	152
85	871	141
86	879	131
87	885	120
88	894	110
89	901	100
90	907	89
91	915	79
92	922	69
93	930	59
94	936	49
95	944	39
96	951	29
97	960	19
98	968	9
99	975	0
